frame_filename,vlm_annotation,llm_json_annotation,title,url,software
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_1.jpg,No software action found.,"{ ""annotation"": {""error"": ""No software action found"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_62.jpg,No software action found.,"{ ""annotation"": {""error"": ""No software action found"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_123.jpg,No software action found.,"{ ""annotation"": {""error"": ""No software action found"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_184.jpg,"The image shows a Microsoft Excel spreadsheet with a green background. The spreadsheet contains a table of sales data for the meat department. The user is likely analyzing the sales data to make informed decisions about inventory, pricing, or promotions. The software action found is the user interacting with the spreadsheet, possibly inputting or editing data, or using formulas to calculate totals or averages. The user may be reviewing the data to identify trends, track sales performance, or make projections for future sales.","{ ""annotation"": { ""software"": ""Microsoft Excel"", ""accuracy"": 0.85, ""features_used"": ""Interacting with the spreadsheet, possibly inputting or editing data, or using formulas"", ""past_actions"": ""Analyzing data to make informed decisions about inventory, pricing, or promotions"", ""future_actions"": ""Identifying trends, tracking sales performance, or making projections for future sales"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_245.jpg,"The user is working with Microsoft Excel, which is a spreadsheet software. They are using the software to create a spreadsheet that shows the sales of all foods in the meat department. The spreadsheet is filled with numbers and text, indicating that the user is inputting data and organizing it in a structured manner. The user is likely analyzing the data to make informed decisions about the meat department's performance, such as identifying trends, setting goals, or making adjustments to the inventory or pricing. In the future, the user may use Excel's tools to create charts, graphs, or pivot tables to further analyze the data and gain insights into the meat department's sales.","{ ""annotation"": { ""software"": ""Microsoft Excel"", ""accuracy"": 0.90, ""features_used"": ""Creating a spreadsheet, inputting data"", ""past_actions"": ""Organizing and analyzing data"", ""future_actions"": ""Creating charts, graphs, or pivot tables"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_306.jpg,"The image shows a Microsoft Excel spreadsheet with a green background. The user is likely working on a financial or sales-related task, as the spreadsheet contains a large amount of data, including dollar signs and numbers. The user is currently selecting a cell, possibly to input or edit data. Based on the context, the user might be performing tasks such as analyzing financial data, tracking sales, or creating a budget. The user may also be using other Excel features, such as formulas, charts, or pivot tables, to further analyze and visualize the data.","{ ""annotation"": { ""software"": ""Microsoft Excel"", ""accuracy"": 0.80, ""features_used"": ""Data selection"", ""past_actions"": ""Analyzing financial data, tracking sales or creating a budget"", ""future_actions"": ""Using formulas, charts or pivot tables for further data analysis or visualization"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_367.jpg,"The image shows a spreadsheet with a green background and a cell highlighted in green. The cell contains the text ""Select where you want the sum."" The user is likely working with a spreadsheet software, such as Microsoft Excel, to perform calculations and organize data. The user may be using the software to analyze financial data, track sales, or perform other calculations. The highlighted cell suggests that the user is in the process of selecting a specific range of cells to perform a calculation or sum. The user may be preparing to input additional data, edit existing data, or perform other actions within the spreadsheet.","{ ""annotation"": { ""software"": ""Microsoft Excel"", ""accuracy"": 0.87, ""features_used"": ""Highlighting cells, selecting a range of cells"", ""past_actions"": ""Working with spreadsheet, analyzing financial data or performing calculations"", ""future_actions"": ""Inputting additional data, editing existing data, or performing other actions"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_428.jpg,"The image shows a spreadsheet with a green arrow pointing to the word ""sales."" The user is likely working on a financial analysis or tracking sales data. The spreadsheet contains columns for different months, and the rows display the sales figures. The user might be reviewing the sales data, comparing different months, or analyzing trends. They could be preparing to create a report or presentation based on the data. The presence of the green arrow suggests that the user is navigating through the spreadsheet, possibly to find specific data or to make adjustments to the spreadsheet.","{""annotation"": {""software"": ""Google Sheets"", ""accuracy"": 0.80, ""features_used"": ""Spreadsheet with columns and rows for financial analysis and tracking sales data"", ""past_actions"": ""Reviewing sales data, comparing different months, analyzing trends"", ""future_actions"": ""Preparing a report or presentation based on the data, or making adjustments to the spreadsheet""}}",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_489.jpg,"The user is working with a spreadsheet software, likely Microsoft Excel, to create a financial report. The spreadsheet contains a table with columns for different months, including October, November, December, and Q4 sales. The user is typing the word ""Type"" in the spreadsheet, possibly indicating that they are entering data or creating a formula. The user is likely analyzing financial data, comparing sales figures, or creating a report for a specific period. Based on the current activity, the user may continue to input data, edit formulas, or format the report for presentation purposes.","{ ""annotation"": { ""software"": ""Microsoft Excel"", ""accuracy"": 0.82, ""features_used"": ""Spreadsheet creation, typing, formula creation"", ""past_actions"": ""Entering data or creating formulas"", ""future_actions"": ""Inputting data, editing formulas, formatting for presentation"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4_frame_550.jpg,"The image shows a spreadsheet with a green background and a green arrow pointing to the word ""select."" The user is likely working with a spreadsheet software, such as Microsoft Excel, with an accuracy of 90%. The software is being used to create a financial report, as indicated by the presence of dollar signs and the word ""sales"" in the spreadsheet. The user is likely inputting data, analyzing financial information, or preparing a report for a business or organization. Future actions may include editing, formatting, or saving the spreadsheet.","{ ""annotation"": { ""software"": ""Microsoft Excel"", ""accuracy"": 0.90, ""features_used"": ""Creating a financial report with dollar signs and'sales' keyword"", ""past_actions"": ""Inputting data, analyzing financial information, or preparing a report"", ""future_actions"": ""Editing, formatting, or saving the spreadsheet"" } }",How_to_use_the_SUMIF_function_in_Microsoft_Excel.mp4,https://www.youtube.com/watch?v=7395LUP9dsk,excel
